token_id,token,frequency
0,a,50
1,and,1
2,authors,1
3,automates,1
4,behavior,1
5,branch,3
6,changes,2
7,checks,1
8,code,4
9,collaboration,1
10,collection,1
11,commit,3
12,committing,1
13,configures,1
14,conflicts,1
15,consistency,1
16,contains,4
17,continuous,3
18,control,3
19,controls,1
20,data,1
21,defines,3
22,dependencies,2
23,describes,1
24,detects,1
25,docs,3
26,documentation,2
27,documents,1
28,enables,1
29,endings,1
30,enforces,1
31,ensures,1
32,environment,3
33,errors,1
34,events,1
35,experimentation,1
36,explains,1
37,file,15
38,files,2
39,folder,9
40,from,1
41,git,1
42,gitattributes,3
43,gitignore,3
44,history,1
45,ignored,1
46,improves,5
47,includes,1
48,instructions,1
49,integration,3
50,intent,1
51,is,2
52,isolates,2
53,license,3
54,line,1
55,lists,1
56,message,1
57,mkdocs,1
58,noise,1
59,of,1
60,on,1
61,permissions,1
62,portability,1
63,prevents,2
64,project,2
65,proposes,1
66,protects,1
67,provides,1
68,pull,3
69,purpose,1
70,pyproject,3
71,quality,1
72,readme,3
73,records,2
74,reduces,2
75,refactoring,1
76,reliability,1
77,repository,3
78,reproducibility,1
79,request,3
80,reuse,1
81,review,1
82,risk,1
83,runs,2
84,secrets,1
85,separates,1
86,snapshot,1
87,source,1
88,src,3
89,standards,1
90,states,1
91,structure,1
92,supports,5
93,system,3
94,tasks,1
95,terms,1
96,test,1
97,tests,3
98,toml,3
99,tools,1
100,tracked,1
101,tracks,1
102,usability,1
103,verifies,1
104,version,3
105,virtual,3
106,with,1
107,work,1
108,workflow,3
