row,label,x,y
0,a|a,0,0
1,a|and,0,0
2,a|authors,0,0
3,a|automates,0,0
4,a|behavior,0,0
5,a|branch,-0.1060,-0.1060
6,a|changes,0,0
7,a|checks,0,0
8,a|code,0,0
9,a|collaboration,0,0
10,a|collection,-0.0400,-0.0400
11,a|commit,-0.1060,-0.1060
12,a|committing,0,0
13,a|configures,0,0
14,a|conflicts,0,0
15,a|consistency,0,0
16,a|contains,0,0
17,a|continuous,0,0
18,a|control,0,0
19,a|controls,0,0
20,a|data,0,0
21,a|defines,0,0
22,a|dependencies,0,0
23,a|describes,0,0
24,a|detects,0,0
25,a|docs,-0.0625,-0.0625
26,a|documentation,0,0
27,a|documents,0,0
28,a|enables,0,0
29,a|endings,0,0
30,a|enforces,0,0
31,a|ensures,0,0
32,a|environment,0,0
33,a|errors,0,0
34,a|events,0,0
35,a|experimentation,0,0
36,a|explains,0,0
37,a|file,0,0
38,a|files,0,0
39,a|folder,0,0
40,a|from,0,0
41,a|git,0,0
42,a|gitattributes,-0.0625,-0.0625
43,a|gitignore,-0.0625,-0.0625
44,a|history,0,0
45,a|ignored,0,0
46,a|improves,0,0
47,a|includes,0,0
48,a|instructions,0,0
49,a|integration,0,0
50,a|intent,0,0
51,a|is,0,0
52,a|isolates,0,0
53,a|license,-0.0625,-0.0625
54,a|line,0,0
55,a|lists,0,0
56,a|message,4.3188,-0.0400
57,a|mkdocs,0,0
58,a|noise,0,0
59,a|of,0,0
60,a|on,0,0
61,a|permissions,0,0
62,a|portability,0,0
63,a|prevents,0,0
64,a|project,6.0354,-0.0559
65,a|proposes,0,0
66,a|protects,0,0
67,a|provides,0,0
68,a|pull,-0.0625,-0.0625
69,a|purpose,0,0
70,a|pyproject,-0.0625,-0.0625
71,a|quality,0,0
72,a|readme,-0.0625,-0.0625
73,a|records,0,0
74,a|reduces,0,0
75,a|refactoring,0,0
76,a|reliability,0,0
77,a|repository,-0.0875,-0.0875
78,a|reproducibility,0,0
79,a|request,0,0
80,a|reuse,0,0
81,a|review,0,0
82,a|risk,0,0
83,a|runs,0,0
84,a|secrets,0,0
85,a|separates,0,0
86,a|snapshot,4.3188,-0.0400
87,a|source,0,0
88,a|src,-0.0625,-0.0625
89,a|standards,0,0
90,a|states,0,0
91,a|structure,0,0
92,a|supports,0,0
93,a|system,0,0
94,a|tasks,0,0
95,a|terms,0,0
96,a|test,0,0
97,a|tests,-0.0625,-0.0625
98,a|toml,0,0
99,a|tools,0,0
100,a|tracked,0,0
101,a|tracks,0,0
102,a|usability,0,0
103,a|verifies,0,0
104,a|version,-0.0625,-0.0625
105,a|virtual,-0.0625,-0.0625
106,a|with,0,0
107,a|work,0,0
108,a|workflow,-0.1060,-0.1060
109,and|a,0,0
110,and|and,0,0
111,and|authors,0,0
112,and|automates,0,0
113,and|behavior,0,0
114,and|branch,0,0
115,and|changes,0,0
116,and|checks,0,0
117,and|code,0,0
118,and|collaboration,0,0
119,and|collection,0,0
120,and|commit,0,0
121,and|committing,0,0
122,and|configures,0,0
123,and|conflicts,0,0
124,and|consistency,0,0
125,and|contains,0,0
126,and|continuous,0,0
127,and|control,0,0
128,and|controls,0,0
129,and|data,0,0
130,and|defines,0,0
131,and|dependencies,0,0
132,and|describes,0,0
133,and|detects,0,0
134,and|docs,0,0
135,and|documentation,4.3188,-0.0400
136,and|documents,0,0
137,and|enables,0,0
138,and|endings,0,0
139,and|enforces,0,0
140,and|ensures,0,0
141,and|environment,0,0
142,and|errors,0,0
143,and|events,0,0
144,and|experimentation,0,0
145,and|explains,0,0
146,and|file,0,0
147,and|files,0,0
148,and|folder,0,0
149,and|from,0,0
150,and|git,0,0
151,and|gitattributes,0,0
152,and|gitignore,0,0
153,and|history,0,0
154,and|ignored,0,0
155,and|improves,0,0
156,and|includes,0,0
157,and|instructions,0,0
158,and|integration,0,0
159,and|intent,0,0
160,and|is,0,0
161,and|isolates,0,0
162,and|license,0,0
163,and|line,0,0
164,and|lists,0,0
165,and|message,0,0
166,and|mkdocs,0,0
167,and|noise,0,0
168,and|of,0,0
169,and|on,0,0
170,and|permissions,0,0
171,and|portability,0,0
172,and|prevents,0,0
173,and|project,0,0
174,and|proposes,0,0
175,and|protects,0,0
176,and|provides,0,0
177,and|pull,0,0
178,and|purpose,0,0
179,and|pyproject,0,0
180,and|quality,0,0
181,and|readme,0,0
182,and|records,0,0
183,and|reduces,0,0
184,and|refactoring,0,0
185,and|reliability,0,0
186,and|repository,0,0
187,and|reproducibility,0,0
188,and|request,0,0
189,and|reuse,0,0
190,and|review,0,0
191,and|risk,0,0
192,and|runs,0,0
193,and|secrets,0,0
194,and|separates,0,0
195,and|snapshot,0,0
196,and|source,0,0
197,and|src,0,0
198,and|standards,0,0
199,and|states,0,0
200,and|structure,0,0
201,and|supports,0,0
202,and|system,0,0
203,and|tasks,0,0
204,and|terms,0,0
205,and|test,0,0
206,and|tests,0,0
207,and|toml,0,0
208,and|tools,0,0
209,and|tracked,0,0
210,and|tracks,0,0
211,and|usability,0,0
212,and|verifies,0,0
213,and|version,0,0
214,and|virtual,0,0
215,and|with,0,0
216,and|work,0,0
217,and|workflow,0,0
218,authors|a,-0.0400,-0.0400
219,authors|and,0,0
220,authors|authors,0,0
221,authors|automates,0,0
222,authors|behavior,0,0
223,authors|branch,0,0
224,authors|changes,0,0
225,authors|checks,0,0
226,authors|code,0,0
227,authors|collaboration,0,0
228,authors|collection,0,0
229,authors|commit,0,0
230,authors|committing,0,0
231,authors|configures,0,0
232,authors|conflicts,0,0
233,authors|consistency,0,0
234,authors|contains,0,0
235,authors|continuous,0,0
236,authors|control,0,0
237,authors|controls,0,0
238,authors|data,0,0
239,authors|defines,0,0
240,authors|dependencies,0,0
241,authors|describes,0,0
242,authors|detects,0,0
243,authors|docs,0,0
244,authors|documentation,0,0
245,authors|documents,0,0
246,authors|enables,0,0
247,authors|endings,0,0
248,authors|enforces,0,0
249,authors|ensures,0,0
250,authors|environment,0,0
251,authors|errors,0,0
252,authors|events,0,0
253,authors|experimentation,0,0
254,authors|explains,0,0
255,authors|file,0,0
256,authors|files,0,0
257,authors|folder,0,0
258,authors|from,0,0
259,authors|git,0,0
260,authors|gitattributes,0,0
261,authors|gitignore,0,0
262,authors|history,0,0
263,authors|ignored,0,0
264,authors|improves,0,0
265,authors|includes,0,0
266,authors|instructions,0,0
267,authors|integration,0,0
268,authors|intent,0,0
269,authors|is,0,0
270,authors|isolates,0,0
271,authors|license,0,0
272,authors|line,0,0
273,authors|lists,0,0
274,authors|message,0,0
275,authors|mkdocs,0,0
276,authors|noise,0,0
277,authors|of,0,0
278,authors|on,0,0
279,authors|permissions,0,0
280,authors|portability,0,0
281,authors|prevents,0,0
282,authors|project,0,0
283,authors|proposes,0,0
284,authors|protects,0,0
285,authors|provides,0,0
286,authors|pull,0,0
287,authors|purpose,0,0
288,authors|pyproject,0,0
289,authors|quality,0,0
290,authors|readme,0,0
291,authors|records,0,0
292,authors|reduces,0,0
293,authors|refactoring,0,0
294,authors|reliability,0,0
295,authors|repository,0,0
296,authors|reproducibility,0,0
297,authors|request,0,0
298,authors|reuse,0,0
299,authors|review,0,0
300,authors|risk,0,0
301,authors|runs,0,0
302,authors|secrets,0,0
303,authors|separates,0,0
304,authors|snapshot,0,0
305,authors|source,0,0
306,authors|src,0,0
307,authors|standards,0,0
308,authors|states,0,0
309,authors|structure,0,0
310,authors|supports,0,0
311,authors|system,0,0
312,authors|tasks,0,0
313,authors|terms,0,0
314,authors|test,0,0
315,authors|tests,0,0
316,authors|toml,0,0
317,authors|tools,0,0
318,authors|tracked,0,0
319,authors|tracks,0,0
320,authors|usability,0,0
321,authors|verifies,0,0
322,authors|version,0,0
323,authors|virtual,0,0
324,authors|with,0,0
325,authors|work,0,0
326,authors|workflow,0,0
327,automates|a,0,0
328,automates|and,0,0
329,automates|authors,0,0
330,automates|automates,0,0
331,automates|behavior,0,0
332,automates|branch,0,0
333,automates|changes,0,0
334,automates|checks,0,0
335,automates|code,0,0
336,automates|collaboration,0,0
337,automates|collection,0,0
338,automates|commit,0,0
339,automates|committing,0,0
340,automates|configures,0,0
341,automates|conflicts,0,0
342,automates|consistency,0,0
343,automates|contains,0,0
344,automates|continuous,0,0
345,automates|control,0,0
346,automates|controls,0,0
347,automates|data,0,0
348,automates|defines,0,0
349,automates|dependencies,0,0
350,automates|describes,0,0
351,automates|detects,0,0
352,automates|docs,0,0
353,automates|documentation,0,0
354,automates|documents,0,0
355,automates|enables,0,0
356,automates|endings,0,0
357,automates|enforces,0,0
358,automates|ensures,0,0
359,automates|environment,0,0
360,automates|errors,0,0
361,automates|events,0,0
362,automates|experimentation,0,0
363,automates|explains,0,0
364,automates|file,0,0
365,automates|files,0,0
366,automates|folder,0,0
367,automates|from,0,0
368,automates|git,0,0
369,automates|gitattributes,0,0
370,automates|gitignore,0,0
371,automates|history,0,0
372,automates|ignored,0,0
373,automates|improves,0,0
374,automates|includes,0,0
375,automates|instructions,0,0
376,automates|integration,0,0
377,automates|intent,0,0
378,automates|is,0,0
379,automates|isolates,0,0
380,automates|license,0,0
381,automates|line,0,0
382,automates|lists,0,0
383,automates|message,0,0
384,automates|mkdocs,0,0
385,automates|noise,0,0
386,automates|of,0,0
387,automates|on,0,0
388,automates|permissions,0,0
389,automates|portability,0,0
390,automates|prevents,0,0
391,automates|project,0,0
392,automates|proposes,0,0
393,automates|protects,0,0
394,automates|provides,0,0
395,automates|pull,0,0
396,automates|purpose,0,0
397,automates|pyproject,0,0
398,automates|quality,0,0
399,automates|readme,0,0
400,automates|records,0,0
401,automates|reduces,0,0
402,automates|refactoring,0,0
403,automates|reliability,0,0
404,automates|repository,0,0
405,automates|reproducibility,0,0
406,automates|request,0,0
407,automates|reuse,0,0
408,automates|review,0,0
409,automates|risk,0,0
410,automates|runs,0,0
411,automates|secrets,0,0
412,automates|separates,0,0
413,automates|snapshot,0,0
414,automates|source,0,0
415,automates|src,0,0
416,automates|standards,0,0
417,automates|states,0,0
418,automates|structure,0,0
419,automates|supports,0,0
420,automates|system,0,0
421,automates|tasks,4.3188,-0.0400
422,automates|terms,0,0
423,automates|test,0,0
424,automates|tests,0,0
425,automates|toml,0,0
426,automates|tools,0,0
427,automates|tracked,0,0
428,automates|tracks,0,0
429,automates|usability,0,0
430,automates|verifies,0,0
431,automates|version,0,0
432,automates|virtual,0,0
433,automates|with,0,0
434,automates|work,0,0
435,automates|workflow,0,0
436,behavior|a,-0.0400,-0.0400
437,behavior|and,0,0
438,behavior|authors,0,0
439,behavior|automates,0,0
440,behavior|behavior,0,0
441,behavior|branch,0,0
442,behavior|changes,0,0
443,behavior|checks,0,0
444,behavior|code,0,0
445,behavior|collaboration,0,0
446,behavior|collection,0,0
447,behavior|commit,0,0
448,behavior|committing,0,0
449,behavior|configures,0,0
450,behavior|conflicts,0,0
451,behavior|consistency,0,0
452,behavior|contains,0,0
453,behavior|continuous,0,0
454,behavior|control,0,0
455,behavior|controls,0,0
456,behavior|data,0,0
457,behavior|defines,0,0
458,behavior|dependencies,0,0
459,behavior|describes,0,0
460,behavior|detects,0,0
461,behavior|docs,0,0
462,behavior|documentation,0,0
463,behavior|documents,0,0
464,behavior|enables,0,0
465,behavior|endings,0,0
466,behavior|enforces,0,0
467,behavior|ensures,0,0
468,behavior|environment,0,0
469,behavior|errors,0,0
470,behavior|events,0,0
471,behavior|experimentation,0,0
472,behavior|explains,0,0
473,behavior|file,0,0
474,behavior|files,0,0
475,behavior|folder,0,0
476,behavior|from,0,0
477,behavior|git,0,0
478,behavior|gitattributes,0,0
479,behavior|gitignore,0,0
480,behavior|history,0,0
481,behavior|ignored,0,0
482,behavior|improves,0,0
483,behavior|includes,0,0
484,behavior|instructions,0,0
485,behavior|integration,0,0
486,behavior|intent,0,0
487,behavior|is,0,0
488,behavior|isolates,0,0
489,behavior|license,0,0
490,behavior|line,0,0
491,behavior|lists,0,0
492,behavior|message,0,0
493,behavior|mkdocs,0,0
494,behavior|noise,0,0
495,behavior|of,0,0
496,behavior|on,0,0
497,behavior|permissions,0,0
498,behavior|portability,0,0
